iter,task_train_acc_pre_optim,task_train_acc_post_optim,task_test_acc_pre_optim,task_test_acc_post_optim
5380,0.184,0.6,0.12799999,0.6
5390,0.192,0.504,0.176,0.48800004
5400,0.216,0.536,0.192,0.56
5410,0.18400002,0.568,0.184,0.568
5420,0.18400002,0.576,0.2,0.568
5430,0.18400002,0.52,0.152,0.56
5440,0.232,0.568,0.12,0.536
5450,0.216,0.512,0.176,0.52
5460,0.26400003,0.48,0.23200001,0.52
5470,0.23200001,0.56,0.18400002,0.52800006
5480,0.208,0.58400005,0.22399999,0.504
5490,0.2,0.568,0.22400002,0.568
5500,0.192,0.536,0.168,0.504
5510,0.20799999,0.552,0.144,0.57600003
5520,0.192,0.544,0.2,0.52800006
5530,0.20799999,0.56,0.192,0.512
5540,0.176,0.576,0.168,0.60800004
5550,0.22400002,0.52,0.18400002,0.536
5560,0.176,0.504,0.152,0.56
5570,0.136,0.616,0.2,0.552
5580,0.136,0.52800006,0.264,0.552
5590,0.20799999,0.60800004,0.23200001,0.552
5600,0.256,0.60800004,0.144,0.552
5610,0.2,0.52,0.21600002,0.51199996
5620,0.176,0.488,0.24,0.56
5630,0.192,0.584,0.176,0.592
5640,0.176,0.608,0.192,0.55200005
5650,0.16,0.64,0.18400002,0.59200007
5660,0.216,0.536,0.232,0.5360001
5670,0.2,0.536,0.216,0.584
5680,0.144,0.536,0.256,0.496
5690,0.144,0.57600003,0.184,0.59199995
5700,0.216,0.624,0.208,0.56
5710,0.16,0.56,0.18400002,0.66400003
5720,0.18400002,0.536,0.2,0.528
5730,0.24800001,0.584,0.23200001,0.6
5740,0.22400002,0.6,0.16800001,0.52800006
5750,0.208,0.576,0.20799999,0.576
5760,0.24,0.648,0.18400002,0.592
5770,0.208,0.5360001,0.288,0.592
5780,0.192,0.52,0.192,0.552
5790,0.23200001,0.60800004,0.16,0.66400003
5800,0.2,0.536,0.248,0.576
5810,0.23200001,0.584,0.24,0.544
5820,0.192,0.584,0.192,0.584
5830,0.248,0.536,0.264,0.57600003
5840,0.14400001,0.6,0.16800001,0.536
5850,0.184,0.568,0.21599999,0.59200007
5860,0.17599998,0.552,0.24,0.528
5870,0.2,0.64,0.11200001,0.616
5880,0.24,0.52800006,0.16,0.6
5890,0.20799999,0.584,0.15200001,0.60800004
5900,0.2,0.66400003,0.216,0.52
5910,0.18400002,0.568,0.176,0.6240001
5920,0.216,0.544,0.20799999,0.544
5930,0.264,0.584,0.23200001,0.52800006
5940,0.18400002,0.60800004,0.29600003,0.56799996
5950,0.192,0.6000001,0.176,0.55200005
5960,0.15200001,0.536,0.192,0.552
5970,0.18400002,0.56,0.24800001,0.544
5980,0.22400002,0.544,0.144,0.616
5990,0.24,0.624,0.18400002,0.6
6000,0.176,0.624,0.23200001,0.59199995
6010,0.20799999,0.544,0.176,0.45599997
6020,0.176,0.584,0.192,0.544
6030,0.22399999,0.6,0.15200001,0.648
6040,0.20799999,0.512,0.15200001,0.544
6050,0.272,0.568,0.216,0.632
6060,0.264,0.536,0.176,0.648
6070,0.168,0.584,0.192,0.568
6080,0.21599999,0.584,0.192,0.568
6090,0.26400003,0.57600003,0.15200001,0.60800004
6100,0.192,0.60800004,0.22399999,0.568
6110,0.2,0.632,0.12,0.576
6120,0.2,0.6,0.22400002,0.568
6130,0.176,0.616,0.192,0.584
6140,0.24,0.568,0.168,0.6
6150,0.18400002,0.6000001,0.23200001,0.55200005
6160,0.23200001,0.6,0.18400002,0.576
6170,0.248,0.536,0.23200001,0.616
6180,0.136,0.576,0.2,0.568
6190,0.21600002,0.59200007,0.23200001,0.584
6200,0.22400002,0.56,0.192,0.552
6210,0.18400002,0.504,0.22400002,0.50399995
6220,0.24,0.632,0.136,0.59200007
6230,0.176,0.544,0.192,0.512
6240,0.216,0.66400003,0.2,0.56
6250,0.192,0.616,0.18400002,0.512
6260,0.16,0.536,0.216,0.616
6270,0.2,0.5360001,0.24800001,0.60800004
6280,0.19199999,0.54399997,0.168,0.624
6290,0.2,0.64,0.2,0.59200007
6300,0.18400002,0.544,0.192,0.568
6310,0.22400002,0.5200001,0.176,0.64
6320,0.20799999,0.56000006,0.184,0.544
6330,0.176,0.624,0.192,0.59199995
